Tempo,SP,PV_Ideal,Sinal_Controle_Ideal
43.5,40,39.9689798802066,40.0162700971888
43.6,40,39.9556492987343,40.0276441735868
43.7,40,39.9610534198544,40.0239440219731
43.8,40,39.9768547051464,40.0116733184572
43.9,40,39.9743084822274,40.0141213610767
44,40,39.9831393666458,40.0073264236757
44.1,40,39.9890195113709,40.0027979957137
44.2,40,39.9788804861797,40.0112471280878
44.3,40,39.9834565755468,40.0078509513853
44.4,40,39.9764953598725,40.0137959981668
44.5,40,39.9922460100846,40.0013195418358
44.6,40,39.9921032480071,40.0015600995296
44.7,40,40.0084879880555,39.988316499682
44.8,40,40.0038802048062,39.9919406430046
44.9,40,40.0094795669715,39.9873094802008
45,40,40.0084188950536,39.9880233154143
45.1,40,39.9879963008509,40.0045534499628
45.2,40,39.9786004007707,40.0124125636146
45.3,40,39.9853341946126,40.0072601814273
45.4,40,39.9852249491451,40.007583978615
45.5,40,39.9745914986608,40.0164972750238
45.6,40,39.9692197255881,40.0212871778726
45.7,40,39.9727211213692,40.0189225233059
45.8,40,39.963804423542,40.026635010791
45.9,40,39.974701206482,40.0183223651352
46,40,39.9692215141661,40.0231985747613
46.1,40,39.988199271423,40.008205180613
46.2,40,39.9779040227587,40.0167949151803
46.3,40,39.9806462216529,40.0149108165185
46.4,40,39.9662655341605,40.0269551179658
46.5,40,39.9603028402777,40.0323604276276
46.6,40,39.9558561044563,40.0366241186134
46.7,40,39.9614289142803,40.0327830081257
46.8,40,39.9721695648249,40.0246357746529
46.9,40,39.9761834757916,40.0218057102669
47,40,39.9733932095653,40.0244636318948
47.1,40,39.9824783488639,40.0174758668742
47.2,40,39.9910808573128,40.010736566398
47.3,40,39.9926601784589,40.0095905466258
47.4,40,39.9986511526794,40.0048193488065
47.5,40,40.0028602454749,40.0014063106425
47.6,40,39.9930598782933,40.0093576463351
47.7,40,40.0009028260063,40.0030688429486
47.8,40,39.9944389872021,40.0083288901968
47.9,40,39.9887348321361,40.0130724569354
48,40,39.9909686403138,40.0114299121482
48.1,40,39.9883293123089,40.0137281055551
48.2,40,39.9875271331752,40.0145694147313
48.3,40,39.9939570421267,40.009522174896
48.4,40,40.0046295913833,40.0009100620286
48.5,40,40.0025960179894,40.002495384456
48.6,40,40.0058382564988,39.9998081815445
48.7,40,40.0033595100427,40.0017374265486
48.8,40,40.0056005521827,39.9998549840017
48.9,40,40.009843053439,39.9963034941417
49,40,40.0034675703101,40.0013483995198
49.1,40,40.0061466744195,39.9991067694416
49.2,40,40.0119585838216,39.9942659045788
49.3,40,40.0125221552492,39.9936146929527
49.4,40,40.0292743396724,39.9797445559794
49.5,40,40.022268461857,39.984992962842
49.6,40,40.0142329768574,39.9911936232119
49.7,40,39.9964518011793,40.0054753349356
49.8,40,40.0056448606232,39.9980305696105
49.9,40,40.0140787800098,39.991058173621
50,40,40.0128319493587,39.9918503269522
50.1,40,40.0213119936947,39.9847252995843
50.2,40,40.0224063143596,39.9834913420226
50.3,40,40.0245147615091,39.9814123481188
50.4,40,40.0247795041603,39.9808040819313
